Article-Link,Article-Gist,Article-Content
OCA Acting President thanks Hangzhou 2022 Organising Committee,"Raja Randhir Singh, the Acting President of the Olympic Council of Asia (OCA), has thanked the Hangzhou 2022 Asian Games Organising Committee (HAGOC) for all their hard work and efforts.","Singh said that the start of the Asian Games year is a special occasion for the OCA and the Olympic sports movement in the continent.  ""Thanks to the efforts of HAGOC, the Chinese Olympic Committee and the municipal and provincial Governments of Hangzhou City and Zhejiang province, the OCA is confident that the 19th Asian Games will be a big success and write another rich chapter in our success story,"" Singh told Hangzhou 2022, the HAGOC’s official publication.  ""To be successful in sport it requires teamwork, determination and dedication - and we have witnessed these three qualities in abundance throughout HAGOC as you have continued to work towards your goal and your dream in extremely challenging and difficult circumstances in the past two years.""  Singh concluded by saying that the continental event will bring the reward for all their efforts.  Timothy Fok, OCA vice-president for East Asia, Gou Zhongwen, President of the Chinese Olympic Committee and other sports and Government dignitaries had also shared similar messages.  The 19th Asian Games is set to be held from September 10 to 25.  The Games will see 40 sports, 61 disciplines and 482 events held in 55 venues around Hangzhou and Zhejiang province in eastern China."
Malaysia women stage comeback against Japan at Badminton Asia Team Championships,"Malaysia got off to a poor start at the Badminton Asia Team Championships in Shah Alam as singles ace Kisona Selvaduray went down 21-12, 21-16 to Natsuri Nidaira of Japan, but came back to triumph in their latest Group Y women’s match.","After Nidaira's win Riko Gunji then defeated Eoon Qi Xuan 21-17, 21-7 to give Japan a 2-0 lead.  However, Siti Nurshuhaini Azman fought back for Malaysia with a spirited performance to beat Hina Akechi 21-16, 22-20.  Pearly Tan and Valeree Siow then secured a thrilling 24-22, 21-18 victory over Rui Hirokami and Yuna Kato to level the tie at 2-2 before Anna Cheong and Teoh Mei Xing defeated Hina Akechi and Riko Gunji 21-12, 21-5 to secure Malaysia a stunning 3-2 win over the reigning champions.  Malaysia's women are now in a position to qualify for the semi-finals if they beat India tomorrow.  In the women’s Group Z, Indonesia beat Hong Kong 4-1 while South Korea thrashed Kazakhstan 5-0.  South Korea will face Hong Kong in a women’s Group Z fixture tomorrow while Indonesia are pitted against Kazakhstan.  In the women’s Group Y, India will begin their campaign against Malaysia.  In the men's draw the Indian team suffered an embarrassing 5-0 defeat against South Korea in their Group A tie.  World number 13 Lakshya Sen went down 21-11, 21-19 to Jeon Hyeok Jin in 42 minutes.  The doubles pair of P.S Ravikrishna and Sankar Prasad Udaykumar could not help the World Championship bronze medallists as they too slumped to a 21-8, 21-10 defeat against Hwi Tae Kim and Kim Jaehwan.  It took only 42 minutes for Joo Wan Kim to get the better of Kiran George 21-18, 21-14 as South Korea got an unassailable 3-0 lead.  The second doubles game featuring Manjit Singh Khwairakpam and Dingku Singh Konthoujam did not go in their favour as they lost 21-7, 21-15 to Yong Jin and Na Sung Seung.  The final match was possibly the best for India as Mithun Manjunath put up a brave show.  But it was not enough as Min Sun Jeong sealed the whitewash with a 21-16, 25-27, 21-14 victory.  In the men’s Group A, Indonesia beat Hong Kong 4-1.  Malaysia's men will be up against Singapore while Japan take on Kazakhstan in Group B tomorrow."
Santiago 2023 signs improved television deal with Mediapro,The Santiago 2023 Pan American and Parapan American Games will be broadcast by Mediapro after the company won a public tender created by the Organising Committee.,"The agreement was signed in the presence of Felipe De Pablo, executive director of Santiago 2023, Jose Luis Rubio, director of audio-visual services of Mediapro, Andrew Parsons, International Paralympic Committee President and Julio Cesar Avila, Americas Paralympic Committee President.  All sports, including the 57 disciplines in the Pan American Games and 18 in the Parapan American Games, will be live on television for the first time in the history of the Games.  A total of 1900 hours - 700 more than Lima 2019 - can be seen at a production cost of $11.8 million (£8.7 million/€10.3 million) compared to the $20 million (£14.7 million/€17.6 million) contract from Lima 2019.  ""We are moving forward according to schedule and having this alliance assures us a world-class production,"" said De Pablo, Santiago 2023 executive director.  ""This is one of the most prestigious audio-visual companies in the world which fills us with peace of mind and confidence.""  The broadcast signal will be shared with tendered television operators for viewers across all platforms, including subscription television and streaming services.  ""We are very excited to take this first step to pass this milestone and inspect the venues,"" said Rubio, director of audio-visual services of Mediapro.  ""This visit allows us to begin our planning and the series of measures and activities that we will have to carry out throughout the contract.  ""We have travelled here with a multidisciplinary team of eight people from Europe and different parts of South America to begin this journey with great enthusiasm alongside the people of the Organising Committee, with whom we are completely satisfied.""  Mediapro will distribute the broadcast signal to tendered television operators in order to reach millions of viewers across platforms such as over-the-air signals, subscription television and digital steaming services.  The Santiago 2023 Pan American Games is set to be held from October 20 to November 5 followed by the Parapan American Games from November 17 to 26.  Nearly 9,000 athletes from 41 countries will be participating in the event."
Tlaxcala picked to host 2022 Archery World Cup final,"Mexican city Tlaxcala has been chosen to stage the 16th Archery World Cup final, with the season's best 32 archers set to compete in men’s and women’s recurve and compound events on October 15 and 16.","This is the third time Mexico has been designated to stage the Archery World Cup's season-ending event, following the inaugural competition in Merida in 2006 and then Mexico City playing host in 2015.  Tlaxcala is one of the oldest colonial cities in Mexico, situated a little more than 100 kilometres east of the country’s capital, Mexico City.  ""Mexico has developed into one of the leading archery nations in the Americas - and the world - over the past decade,"" World Archery President Uğur Erdener said.  ""Fresh off a mixed team medal at the Olympic Games in Tokyo, the Mexican archery team has never been more popular.  ""We’re excited to put on another incredible show for the passionate local public, start a strong partnership with the Mexican Government, and leverage our ongoing relationship with Claro Sports to put archery in the spotlight in Mexico once again.""  Mexican Sports Minister Ana Guevara - a 400 metres silver medallist at the Athens 2004 Olympics - underlined that the Government is keen on building a long-term relationship with World Archery.  ""As part of this strategy, Mexico will host major archery events in the upcoming years that will inspire new generations and provide the opportunity for Mexican athletes to compete in front of home crowds,"" Guevara said.  Athletes can qualify for the World Cup final by winning any of the four regular-season stages in Antalya, Gwangju, Paris and Medellin from April to July.  Ranking points can also help seal a spot in the season-ending event, with eight berths on offer per discipline  The World Cup finale in Tlaxcala also boasts the largest-ever prize fund, with more than $345,814 (£254,894/€223,847) on offer.  World Cup winners will each take home $30,259 (£22,294/€26,573).  Jack Williams of the United States in men's recurve, Lisa Unruh of Germany in women's recurve, Dutchman Mike Schloesser in men's compound and Colombian Sara López in women's compound are the reigning World Cup champions."
Malaysia on cloud nine after men's and women's wins at Badminton Asia Team Championships,Reigning world champion Loh Kean Yew of Singapore suffered a stunning defeat against Lee Zii Jia as Malaysia men thrashed Singapore 5-0 in a Group B tie at the Badminton Asia Team Championships today.,"It took only 30 minutes for Zii Jia to dismantle Kean Yew 21-6, 21-14 at the Setia City Convention Centre.  Zii Jia has now won three out of five matches against the world number 12, who was a childhood rival.  Tokyo 2020 Olympic bronze medallists Aaron Chia and Soh Wooi Yik doubled the lead for Malaysia by getting the better of Bawa Chrisnanta and Wesley Koh Eng Keat 21-14, 21-12.  Ng Tze Yong came back to win 17-21 24-22, 21-19 against Jason Teh Jia Heng in what was a heated battle.  The second doubles match saw Goh Sze Fei and Nur Izzuddin Mohd Rumsani ease past Terry Hee Yong Kai and Andy Kwek Jun Liang 21-10, 21-13 before Leong Jun Hao sealed the deal by defeating Joel Koh Jia Wei 21-17, 22-20.  The second Group B tie also saw Japan men's team drub Kazakhstan 5-0.  Meanwhile, it was a field day for the Malaysian women as they managed to beat India 3-2 in Group Y fixture to qualify for the semi-finals.  Kisona Selvaduray of Malaysia finally managed to end an eight-match losing streak by beating ash Aakarshi Kashyap 21-16, 18-21, 21-16.  Valeree Siow Zi Xuan and Pearly Tan extended Malaysia's lead by humbling Khushi Gupta and Mehreen Riza 21-1, 21-6.  Ashmita Chaliha tried her best to inspire a comeback as she bagged a point for India by beating Siti Nurshuhaini Azman 11-21, 19-21.  Her valiant effort failed to bear fruit as Anna Ching Yik Cheong and Teoh Mei Xing ousted Arul Bala Radhakrishnan and Nila Valluvan 21-10, 21-12 to seal the tie.  There was consolation for India as Myisha Mohd Khairul went down to Tara Shah 16-21, 15-21.  In the other women’s fixtures, South Korea and Indonesia managed to win all matches against Hong Kong and Kazakhstan, respectively, in Group Z."
ICC doubles prize money for winners of Women’s Cricket World Cup,"The International Cricket Council (ICC) has doubled the prize money for the winners of the Women's Cricket World Cup to $1.32 million (£975,000/€1.15 million).","The overall prize pot has also gone up to $3.5million (£2.58 million/€3.07 million) - a 75 per cent increase from the previous edition of the 50-over tournament in 2017.  The World Cup, set to be held in New Zealand from March 4 to April 3, will offer $600,000 (£440,000/€530,000) for the runners-up and the losing semi-finalists will receive $300,000 (£220,000/€260,000) per team.  Teams who exit the tournament in the group stage are set to benefit from a $70,000 (£50,000/€ 60,000) cash prize and each team will bag $25,000 (£18,000/€22,000) for every group-stage victory.  The World Cup had initially been scheduled in 2021, but it was delayed by 12 months because of the coronavirus crisis.  Australia, Bangladesh, England, India, New Zealand, Pakistan, South Africa and the West Indies will play each other once in the round-robin group stage.  A total of 28 group-stage games are scheduled to be played, with the winning team earning two points while a tie or no result will fetch one point.  The four teams with the most points will qualify for the semi-finals.  England have won the World Cup every time they have hosted the event, including 2017, and also emerged victorious in Australia in 2009.  However, with six trophies won out of a possible 11, Australia are the most successful team in the history of the tournament.  New Zealand - this year's hosts - are the only other team to have lifted the trophy, back in 2000.  Bangladesh will be making their 50-over World Cup debut while India and the West Indies are the only other teams to have featured in a final."
OCA standardises Asian Games IT solutions as Bornan signs on as partner,The Olympic Council of Asia (OCA) has signed an agreement to make Bornan Sports Technologies its official information and technology solutions provider.,"The Swiss company will be supporting the OCA during the Asian Games in Aichi and Nagoya in 2026 and all future editions of the Games thereafter.  The exclusive partner will be providing OCA and the Organising Committees with IT and digital platform solutions.  These are expected to include the Games' management system, result-management system, OCA channel, online store and overlay of virtual TV graphics.  Standardising IT solutions across all editions of the Asian Games was the main reason why OCA decided to partner with Bornan, according to OCA director general Husain Al-Musallam.  ""We are delighted to be part of the OCA family in this long-term agreement to address the digital transformation of the Asian Games,"" said Mohammed Khalifa Al-Sawaidi, chairman of Bornan.  The 19th and next edition of the Asian Games is set to be held in Hangzhou in China from September 10 to 25 this year.  The OCA already has three further hosts in place after that.  Following Aichi-Nagoya 2026, Qatari capital Doha is set to stage the 2030 edition and Saudi Arabia's capital Riyadh is the 20234 host."
Indonesia approved as 2022 ASEAN Para Games host after WADA events ban lifted,Surakarta in Indonesia has formally replaced Hanoi as host of the Association of Southeast Asian Nations (ASEAN) Para Games this year after the Indonesian Anti-Doping Agency (LADI) was removed from the World Anti-Doping Agency (WADA) non-compliance list.,"Indonesia had been identified last month as the replacement host after Vietnam's capital pulled out because of the coronavirus crisis.  LADI needed to be declared compliant again by WADA before Indonesia could be awarded the event, however.  Now that is has been, the ASEAN Para Sports Federation (APSF) officially approved Surakarta to host the Games, scheduled to take place from July 23 to 30, at the virtual 26th Board of Governors meeting, which was attended by all 10 member nations.  The city hosted the ASEAN Para Games previously in 2011.  ""After careful deliberation and consideration, majority of the Board reached a decision to officially award Indonesia the hosting job following decision by the World Anti-Doping Agency (WADA) to remove Indonesia from its non-compliance list earlier this month,"" said Board chairman H.E. Yi Veasna.  ""It's important for us to move forward in one voice as our main priority is to ensure that the Games remains relevant to the ASEAN Paralympic fraternity in many more years to come.""  LADI had been placed on the non-compliance list by WADA over ""non-conformities"" in its testing programme, which meant that Indonesia was barred from hosting international sporting events.  It was removed from the list earlier this month.  The proposed sports for the ASEAN Para Games include archery, athletics, badminton, boccia, cerebral palsy football, chess, goalball, judo, powerlifting, table tennis, swimming, wheelchair basketball, wheelchair tennis and volleyball.  APSF President Major General Osoth Bhavilai urged all member nations to support Indonesia in hosting the Games.  The motion to hold an election for the APSF Executive Committee during the Games was also agreed during the Board meeting.  An update on the 12th ASEAN Para Games in Phnom Penh in Cambodia was given too."
Ireland and Oman seek to live up to favourites tag and secure T20 World Cup berths,"Eight teams - Ireland, Nepal, the United Arab Emirates, Canada, Germany, the Philippines, Bahrain, and hosts Oman - will vie for two spots at the Men’s T20 World Cup in a qualifier starting tomorrow.","The tournament, due to conclude on February 24, forms half of the final stage of the qualification process for the International Cricket Council (ICC) World Cup in Australia later this year.  Test-playing nation Ireland will face a good fight from in-form UAE, Oman and Nepal, while it will be interesting to see if the likes of Germany or Canada can spring a surprise.  Oman, who qualified for this tournament after being eliminated in the first round of the T20 World Cup in 2021, are pitted against Nepal, Canada and the Philippines in Group A, and will hope to make the most of home conditions.  ""We are happy with our preparations and the win against the in-form UAE team in the concluding game of the quadrangular T20 series was a big motivation for us,"" said Oman captain Zeeshan Maqsood.  ""We have made it to two successive T20 World Cups, and I am hopeful that we can make it a hat-trick,"" added the ICC Men’s Associate Cricketer of the Year for 2021.  In Group B, favourites Ireland will be up against the UAE, Germany and Bahrain. T  his will mark the first time Germany and the Philippines will play at a global qualifier.  Ahead of the qualifier, Ireland skipper Andrew Balbirnie said that his team deservs to play the World Cup but will not take Qualifier A for granted.  ""But we know that when we play well, we can beat any team,"" Balbirnie said.  ""The short and sharp format of the game leaves less scope for complacency.  ""There are not many occasions when we get the favourite tag.  ""So, I am happy to have it.  ""Usually, it has been the other way round when we, as underdogs, have upset some of the top teams.""  Two teams will progress from each round-robin group, and the winners of the semi-finals qualify for the T20 World Cup in Australia.  Hosts Oman take on Nepal in the opener on February 18.  Qualifier B, set to be held in Harare in Zimbabwe from July 11 to 17, will feature Zimbabwe, Hong Kong, Jersey, The Netherlands, Papua New Guinea, Singapore, Uganda and the United States."
"India men edge Hong Kong, Indonesia women top group at Badminton Asia Team Championships",The Indian men's team bounced back from an opening-day defeat against South Korea to beat Hong Kong 3-2 in a Group A fixture at the Badminton Asia Team Championships in Shah Alam today.,"World number 13 Lakshya Sen started the proceedings well for India as he beat world number 17 Lee Cheuk Yiu 21-19, 21-10 in Malaysia.  However, Hong Kong managed give an instant response when doubles pair Law Cheuk Him and Lee Chun Hei Reginald bagged a thrilling 20-22, 21-15, 21-18 win over Manjit Singh Khwairakpam and Dingku Singh Konthoujam.  Hong Kong managed to build on the momentum as Chan Yin Chak edged past Kiran George 13-21, 21-17, 9-21.  Hariharan Amsakarunan and Ruban Kumar Rethinasabapathi Kumar swung the tie back in India’s favour as the duo got the better of Chow Hin Long and Lui Chun Wai 21-17, 21-16.  The decider turned out be a nail-biter as Mithun Manjunath saw off Jason Gunawan 21-14, 17-21, 21-11 to seal the tie.  The Indian men’s team can qualify for the semi-finals with an outright win over Indonesia, provided South Korea lose to Hong Kong.  If both teams win on Friday, the team with more individual match wins will go ahead.  In Group B, Japan went down to Singapore 2-3 while Malaysia eased past Kazakhstan 5-0.  Among women, Indonesia beat South Korea 3-2 to win Group Z and qualified for the semi-finals.  Gregoria Mariska Tunjung opened with a 21-6, 21-18 victory over Sim Yu-jin to give Indonesia the lead.  However, South Korea pulled one back as Baek Ha-na and Seong Seung-yeon, via a score of 20-22, 19-21, got the better of Febriana Dwipuji Kusuma and Amalia Cahaya Pratiwi.  South Korea looked like they found some rhythm as Lee Se-yeon beat Putri Kusuma Wardani 16-21, 19 -21 in the second singles match to turn the tie in their favour.  But their joy did not last for long as Nita Violina Marwah and Lanny Tria Mayasari managed to equalise as they overcame the challenge from Kim Min-ji and Lee Seo-jin to win 21-16, 22-20.  In the decider, Stephanie Widjaja posted a convincing 21-11, 21-13 win over Kim Joo-eun in 35 minutes to finish the tie.  In the other Group Z match, Hong Kong managed to thrash Kazakhstan 5-0."
Hangzhou 2022 signs deal for Dan Diagnostics to supply health testing services,Dan Diagnostics has become the official supplier of health testing services for the Hangzhou 2022 Asian Games.,"Specialising in medical diagnosis outsourcing services, the company will play a major role in detecting COVID-19 at the 19th Asian Games.  The deal should benefit the Organising Committee, which has faced several barriers in preparing for the Asian Games because of the pandemic.  Construction of venues was halted for several weeks in Hangzhou in the early stages of the coronavirus outbreak, although organisers insist all facilities will be completed with time to spare.  Hangzhou 2022 has the Tokyo 2020 and Beijing 2022 Olympic Games, which happened before the Asian Games, to help it understand how to tackle the challenges posed by the virus.  In fact, a four-member team even travelled to Tokyo to observe pandemic measures at the Olympics.  Overall, there will be 41 designated hospitals, a polyclinic in the Athletes' Village, 200 athlete medical stations, 60 medical stations for spectators, 131 ambulances, three medical helicopters and 1,563 health workers set aside for the Asian Games.  Despite the closed-loop management system introduced to curb the spread of COVID-19, 435 positive cases have so far been reported a the Winter Olympics, with nearly 1.6 million tests having been carried out.  Hangzhou 2022 will aim to control or bring down those numbers with the assistance of Dan Diagnostics.  Hangzhou 2022 is set to be held from September 10 to 25.  The Asian Games will see 40 sports, 61 disciplines and 482 events held in 55 venues around Hangzhou and Zhejiang province in eastern China if all goes to plan."
Canada's men and women reach Pan Am Cup finals,"Canada's men and women qualified for the Pan Am Male and Female Cup finals after beating Mexico and Guatemala, respectively.","Canada will face Brazil in the men’s final and the United States in the women’s final.  Brian Yang brushed past Lino Muñoz 24-22, 21-8 to give Canada's men the advantage as they beat Mexico 3-1.  BR Sankeerth then got the better of Luis Armando Montoya Navarro 21-13, 21-19 to make it 2-0.  Mexico fought back as Job Castillo earned a hard-fought 21-10, 20-22, 21-16 victory over Victor Lai in the third match, sparking hopes of a comeback.  However, doubles pair of Kevin Lee and Ty Alexander Lindeman sealed the victory with a 21-13, 15-21, 21-16 win over Sebastian Martinez Cardoso and Muñoz.  Brazil's men beat the US 3-0.  Wendy Zhang started the proceedings for Canada's women with a routine 21-15, 21-9 win over Guatemala’s Nikté Sotomayor, and Canada went on to win 5-0.  Camille Leblanc won 21-6, 15-21, 21-10 over Alejandra José Paiz Quan and the third singles game saw Eliana Zhang oust Mariana Isabel Paiz Quan 21-4, 21-7.  The doubles matches saw Catherine Choi and Josephine Wu beat Diana Corleto Soto and Sotomayor 21-10, 21-19 before Crustal Lai and Alexandra Mocanu triumphed over Alejandra José Paiz Quan and Mariana Isabel Paiz Quan 21-5, 21-13 to complete an emphatic win.  The American women beat Brazil 3-0 to reach the final."
Women's softball trials conducted in Thailand for Hangzhou 2022 Asian Games,"The Softball Association of Thailand (SBAT) has conducted a selection trial for the women's national team, in advance of the Hangzhou 2022 Asian Games.","From the 83 players who attended the trial, 21 were selected based on their technical skills, a fitness assessment and game components.  The SBAT will further narrow down the number of players to 17, before this year's Asian Games, set to be held from September 10 to 25.  Thailand are ranked 41st in the World Baseball Softball Confederation women's softball rankings and finished eighth in the Asian Women's Softball Championship in 2019.  Women's softball made its Asian Games debut in 1990 and has remained on the programme ever since.  Five-time winners Japan are set to be the defending champions at Hangzhou 2022.  China have won three Asian Games titles, their last coming in 1990 in Beijing.  Thailand did not participate in softball at the 2018 Asian Games, but did appear at Incheon 2014 and Guangzhou 2010."
"Canada, United States win titles at Pan Am Male and Female Cup","Canada's men retained their title at the Pan Am Male and Female Cup, but the women relinquished their crown after going down 3-0 to the United States in the final.","Brian Yang, who starred against Mexico in the semi-final, had a day to forget versus Brazil, losing to Ygor Coelho 21-15, 10-21, 14-21.  However, BR Sankeerth made up for Yang’s mistakes in the second match against Jonathan Matias with a hard-fought 23-25, 22-20, 22-20 victory.  It was Donnians Oliveira's chance to put the Brazil in the lead next and he did so in style, beating Victor Lai 12-19, 18-21, 21-13.  Canadian doubles pair Nyl Yakura and Yang then beat Fabricio Farias and Francielton Farias 21-17, 21-19 sending the final to a deciding fifth match.  Kevin Lee and Ty Alexander Lindeman of Canada stepped up when it mattered the most, producing a convincing 21-18, 21-9 win to lift the Pan Am Cup.  The women’s final was a straightforward affair comparatively, with the US posting a comfortable 3-0 win.  Lauren Lam got the better of Wendy Zhang in a tight encounter that ended 21-17, 18-21, 22-20 in Lam's favour.  Jennie Gai followed with a morale-crushing 21-5, 21-6 win, brushing past Camille Leblanc.  Natalie Chi completed the win with a routine 21-15, 21-5 triumph over Eliana Zhang.  Mexico secured the men's bronze medal with a 3-0 victory over the US, while Brazil's women secured bronze against Guatemala by the same scoreline.  The victories qualify the US for this year's Uber Cup and Canada's men for the Thomas Cup."
Kipchoge to start 2022 season with Tokyo Marathon debut,"Eliud Kipchoge will make his competitive return at this year's Tokyo Marathon on March 6, in the same country where he last year won a second Olympic gold medal.","It is set to be the Kenyan's debut at the Tokyo Marathon.  The world record-holder is hoping to win all six World Marathon Majors before his career is over, having already recorded victories in three of the races.  Kipchoge is a four-time winner of the London Marathon, a three-time winner of Berlin Marathon and also won the Chicago Marathon in 2014.  ""I would like to thank the organisers of the Tokyo Marathon to make it possible for me and my colleague athletes to race in Tokyo,"" Kipchoge wrote.  ""My focus has been on Tokyo from the beginning of my training cycle, and I can say I am ready to race there.  ""I am very excited to run in a country where running is a crucial part of the sport culture and looking forward to experience the Japanese excitement for running and the marathon in particular.""  Kipchoge retained his Olympic marathon title at Tokyo 2020 last year, although the race was held in Sapporo, not Tokyo.  The 37-year-old has set his sights on winning a third gold medal at Paris 2024.  Regarded by many as the greatest marathon runner of all time, Kipchoge's time of 2 hours 1min 39sec set in Berlin in 2018 remains the world record.  Kenyans Jonathan Korir and Laban Korir, plus Ethiopia's Ashete Bekere, will join Kipchoge in the NN Running Team at the Tokyo Marathon."
Drone racing and roller speed skating venues changed for 2022 World Games,"Drone racing and roller speed skating competitions at the 2022 World Games have been moved to new venues, which it is claimed will improve the overall experience for athletes and fans.","Protective Stadium will now host the drone racing competition, while speed skating has been moved to Powell Steam Plant.  ""Moving drone racing and speed skating to downtown Birmingham brings both of these action-packed competitions to the very heart of the city,"" said Nick Sellers, chief executive of the World Games 2022.  ""These changes offer us another tremendous opportunity to show the entire world all that Birmingham has to offer as the Magic City truly comes of age with the exciting redevelopment taking place in the Railroad Park area and our newest venue, Protective Stadium.""  An email will be sent to all fans who purchased drone racing or speed skating tickets, informing them of the venue change, according to organisers.  Speed skating had been pencilled in for the Barber Motorsports Park, while Birmingham CrossPlex was the previous drone racing location.  ""The Powell Steam Plant is a national landmark that played a vital role in the story of Birmingham’s growth,"" added Jonathan Porter, chair of the Organising Committee.  ""With an array of entertainment options nearby, it is the perfect site for speed skating fans and athletes.""  Canopy piloting, one of the most sought-after tickets at the World Games, where athletes parachute from a helicopter trying to land on a target, will be conducted at the Barber Motorsports Park as planned.  Displines including wheelchair rugby, canoe polo, finswimming and inline hockey are set to be held at the Birmingham CrossPlex.  The venue for road speed skating is due to be announced later.  The 2022 World games are set to be held from July 7 to 17 in Alabama, having been delayed by a year in response to the postponement of the Tokyo 2020 Olympics.  An estimated 500,000 visitors are expected for the World Games, where 3,600 athletes from more than 100 countries are set to participate."
New Women's Softball European Championship competition format adopted,A new competition format for the Women's Softball European Championship has been announced by World Baseball Softball Confederation (WBSC) Europe.,"The 22 participating teams have been split into four groups, with two top-eight sides from the 2021 Women's Softball European Championship added to each group.  While the rest of the teams will follow a round-robin format, with the winner progressing to quarter-final groups in third place, the two top-eight teams will only play one game to finalise their positions for the next stage and are assured of a top-two finish.  The next stage with have what are called quarter-final groups - each containing six teams.  The top three from each will advance to a single round-robin semi-final group, which will determine who plays in the medal matches.  The top three from the six teams in the quarter-final groups will advance to the semi-final group, with the best two teams from the final standings advancing to the medal matches.  Sides ranking fourth to sixth in the quarter-final groups will be moved to a single round-robin group to play for rankings from seventh to 12th.  ""The decision of the Competition Commission follows the request by National Federations to have more balanced games, especially in the first phases of the tournament,"" WBSC Europe softball vice-President Gabriel Waage said.  The European Women’s Softball Championship is set be held from July 24 to 30 in Sant Boi in Spain.  The tournament will serve as a continental qualifier for the WBSC Women’s Softball World Cup, with three spots up for grabs."
Kvitová and Azarenka withdraw from Qatar Open but Sabalenka into last 16,"Injuries forced defending champion Petra Kvitová and ex-world number one Victoria Azarenka to withdraw from the Qatar Open, on what was otherwise a routine day for the top seeds.","Elise Mertens benefited as Czech player Kvitová could not continue after an injury to her left wrist and withdrew when a set down.  Mertens will now face fourth seed Anett Kontaveit of Estonia in the round of 16.  Kvitova had won the Qatar Open in 2018 and 2021, beating Garbiñe Muguruza in the final on both occasions.  Azarenka joined Kvitova on the sidelines after hip pain forced her to withdraw before her clash against American Madison Brengle.  With world number one Ashleigh Barty from Australia not playing because of injury, world number two Aryna Sabalenka is the top seed and the Belarusian lived up to the tag as she breezed past France's Alizé Cornet 6-2, 6-2.  ""It definitely wasn't easy,"" Sabalenka said after the victory.  ""It was a really tough match.  ""She played really well, she pushed me a lot.  ""I expected long rallies in this match and I prepared myself for this kind of rallies.  ""The tactic was just to stay in the point as long as I can, push her as much as I can, and to serve well.""  Czech Barbora Krejčíková, the world number three, set up a rematch from last month's Australian Open with Latvia's Jelena Ostapenko after she demolished Poland's Magda Linette 6-1, 6-3  American teenager Coco Gauff defeated France's Caroline Garcia 6-2, 7-6 to set up a last-16 meeting with Spaniard Paula Badosa, who recorded a straight-sets victory over Denmark’s Clara Tauson 6-1, 6-2.  Poland’s Iga Świątek beat Viktorija Golubic of Switzerland 6-2, 3-6, 6-2, while Tunisian Ons Jabeur overcame Belarusian Aliaksandra Sasnovich 1-6, 7-5, 6-3.  In the last match of the day, American Ann Li went down to world number six Maria Sakkari from Greece 6-3, 6-3."
Pavletić replaces Čustonja as President of Croatian Academic Sports Federation,"New leadership of the Croatian Academic Sports Federation (HASS) has been elected, including a new President and Executive Committee.","Former vice-president Haris Pavletić has replaced Zrinko Čustonja as the President of HASS.  Pavletic is also the first vice-President of the European University Sports Association (EUSA).  Toni Gamulin will serve as the first vice-president of HASS while Sanja Ćurković and Tonći Jerak have also been elected as vice-presidents.  Sasa Selmanovic, Igor Salajic and Marko Zunic were elected as members of the Executive Committee, completing the body.  Ivan Grgurević, Dubravko Ižaković and Toni Batinić were elected to the Supervisory Board.  Apart from adopting a programme of activities for 2022, the new leaders have also presented their plans, including the UniSport Digital project, which will add a new website, mobile application, and a system for registration and competition management.  Tomislak Družak, Ssate secretary for sports at the Ministry of Tourism and Sports, Presidential envoy Željko Jovanović, the rector of the University of Zagreb, Damir Boras, and EUSA Secretary General Matjaž Pečovnik were all present at the meeting where the new members were selected.  Pečovnik thanked Čustonja for his services over the years and congratulated new President Pavletić.  The HASS is one of the most active members of EUSA and hosted the 2016 European Universities Games 2016 in Zagreb-Rijeka.  It also staged the EUSA Conference in 2015."
World Rugby names Horrox as new director of women’s rugby,"Word Rugby has appointed Sally Horrox as the new director of women’s rugby, replacing Olympian and Commonwealth Games medallist Katie Sadlier, who has been appointed as the chief executive of Commonwealth Games Federation (CGF).","Horrox, who will start in her new role in early May, will bring in plenty of experience in the management level in sport and business, and will be leading World Rugby's Women in Rugby 2017-25 plan, which has been a huge success.  Horrox has served as a former non-executive director of England Netball, advisor to UEFA, international football federations and The FA and has been instrumental in the success of the Vitality Netball Super League and the FA Women's Super League.  Along with chief strategy officer Mihir Warty, Horrox will be collaborating with high-performance, competitions, participation, revenue, fan-engagement teams and other partners apart from leading the Women in Rugby plan.  ""I’m delighted and hugely privileged to be joining World Rugby to lead what is regarded as the most significant area of growth for the game globally,"" Horrox said.  ""With increased investment, two World Cups this year and the launch of WXV, a new annual women’s global competition in 2023, it is an incredibly exciting time for the sport.  ""I am committed to accelerating the development of women in rugby at every level, and to promoting player welfare and gender equity in all that we do.""  World Rugby chief executive Alan Gilpin expressed delight in welcoming Horrox.  ""Sally is well known in the sports industry for getting results and brings with her considerable commercial, legal and strategic acumen and a deep understanding of the community and elite sports environments on an international basis,"" Gilpin said.  ""She knows how to successfully develop women’s sport and has a proven track record in major events, developing new competition structures and restructuring commercial rights."""
